id,name,active,region_key,region_label,court_type,platform,operator,priority,address,booking_url,public_url,lat,lon,maps_id,platform_id,etennis_id,eversports_slug,eversports_facility_id,eversports_court_ids,notes,issues,slot_fallback_minutes
sportcenter-donaucity,Sportcenter Donaucity,true,wien,Wien,outdoor,eversports,BSV,5,"Arbeiterstrandbadstraße 128, 1220 Wien",https://www.eversports.at/sb/sportcenter-donaucity,https://www.eversports.at/sb/sportcenter-donaucity,48.2476 ,16.4189 ,"https://www.google.com/maps?q=48.2476,16.4189 ",sportcenter-donaucity,,sportcenter-donaucity,,,,phone_booking_only
padelzone-wien-floridsdorf,Padelzone Wien Floridsdorf,true,wien,Wien,indoor_outdoor,eversports,Padelzone,8,"Katharina-Scheiter-Gasse 1, 1210 Wien",https://www.eversports.at/sb/padelzone-wien-or-floridsdorf-powered-by-cupra,https://www.eversports.at/sb/padelzone-wien-or-floridsdorf-powered-by-cupra,48.2850 ,16.4025 ,"https://www.google.com/maps?q=48.2850,16.4025 ",padelzone-wien-or-floridsdorf-powered-by-cupra,,padelzone-wien-or-floridsdorf-powered-by-cupra,78472,98662|98663|98664|98665|99442|99443|99444|99445,,
padelbase-wien,Padelbase Wien,true,wien,Wien,outdoor,etennis,Padelbase,7,"Jennerplatz 25, 1130 Wien",https://www.buchung-padelbase.at/reservierung?c=3532,https://www.buchung-padelbase.at/reservierung?c=3532,48.1865 ,16.2667 ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x476da710fe7dcd3b:0x96791648b752f7c0?sa=X&ved=1t:8290&ictx=111 ,3532,3532,,,
padelzone-wr-neustadt-arena-27,Padelzone Wr. Neustadt Arena 27,true,noe-sued,NOE Sued,indoor,eversports,Padelzone,4,"Wiener-Straße-Werkstraße 109, 2700 Wiener Neustadt",https://www.eversports.at/sb/padelzone-wiener-neustadt-or-arena-27,https://www.eversports.at/sb/padelzone-wiener-neustadt-or-arena-27,47.8126 ,16.2438 ,"https://www.google.com/maps?q=47.8126,16.2438 ",padelzone-wiener-neustadt-or-arena-27,,padelzone-wiener-neustadt-or-arena-27,77873,91337|91338|91339|91340|91341|91342|91343,,
padeldome-alte-donau-outdoor,Padeldome Alte Donau outdoor,true,wien,Wien,outdoor,etennis,Padeldome,2,"Arbeiterstrandbadstraße 87A, 1210 Wien",https://www.padeldome.wien/reservierung?c=3218,https://www.padeldome.wien/reservierung?c=3218,48.2580 ,16.4155 ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x476d07d2957e2667:0xd67f2f4022214a7d?sa=X&ved=1t:8290&ictx=111 ,3218,3218,,,
padelzone-traiskirchen,Padelzone Traiskirchen,true,bad-voeslau,Bad Voeslau,indoor,eversports,Padelzone,1,"Wienersdorfer Straße 20-24, 2514 Traiskirchen",https://www.eversports.at/sb/padelzone-traiskirchen,https://www.eversports.at/sb/padelzone-traiskirchen,48.010698 ,16.289138 ,"https://www.google.com/maps?q=48.010698,16.289138 ",padelzone-traiskirchen,,padelzone-traiskirchen,79237,101686|101687|101688|101689,,
racketworld-wien,Racketworld Wien,true,wien,Wien,indoor,etennis,Racketworld,8,"Kendlerstraße 47, 1160 Wien",https://www.racketworld.wien/reservierung?c=3660,https://www.racketworld.wien/reservierung?c=3660,48.2105 ,16.3059 ,"https://www.google.com/maps?q=48.2105,16.3059 ",3660,3660,,,
padeldome-alt-erlaa,Padeldome Alt Erlaa,true,wien-sued,Wien Sued,indoor,etennis,Padeldome,1,"Anton-Baumgartner-Straße 40, 1230 Wien",https://www.padeldome.wien/reservierung?c=2668,https://www.padeldome.wien/reservierung?c=2668,48.1362 ,16.3035 ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x476da99347e7a6cd:0x35fccd663a2d161b?sa=X&ved=1t:8290&ictx=111 ,2668,2668,,,
padelzone-wien-c-c-wienerberg,Padelzone Wien C&C Wienerberg,true,wien-sued,Wien Sued,indoor,eversports,Padelzone,7,"Gutheil-Schoder-Gasse 7, 1100 Wien",https://www.eversports.at/sb/padelzone-wien-or-candc-wienerberg,https://www.eversports.at/sb/padelzone-wien-or-candc-wienerberg,48.1667 ,16.3433 ,"https://www.google.com/maps?q=48.1667,16.3433 ",padelzone-wien-or-candc-wienerberg,,padelzone-wien-or-candc-wienerberg,77636,90282|90283|91073,,
padel4fun-tattendorf,Padel4Fun Tattendorf,true,bad-voeslau,Bad Voeslau,indoor,etennis,Padel4Fun,2,"Schulstraße 14, 2523 Tattendorf",https://reservierung.padel4fun.at/reservierung?c=4029,https://reservierung.padel4fun.at/reservierung?c=4029,47.9556 ,16.3003 ,"https://www.google.com/maps?q=47.9556,16.3003 ",4029,4029,,,
padeldome-erdberg,Padeldome Erdberg,true,wien-sued,Wien Sued,indoor,etennis,Padeldome,1,"Franzosengraben 2, 1030 Wien",https://www.padeldome.wien/reservierung?c=2665,https://www.padeldome.wien/reservierung?c=2665,48.1958 ,16.4146 ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x476d07574e639bbf:0x526363c0961b1a64?sa=X&ved=1t:8290&ictx=111 ,2665,2665,,,
padelzone-wr-neustadt-achtersee,Padelzone Wr. Neustadt Achtersee,true,noe-sued,NOE Sued,outdoor,eversports,Padelzone,8,"Brunner Straße 172, 2700 Wiener Neustadt ",https://www.eversports.at/sb/padelzone-wiener-neustadt-or-achtersee,https://www.eversports.at/sb/padelzone-wiener-neustadt-or-achtersee,47.8126 ,16.2438 ,"https://www.google.com/maps?q=47.8126,16.2438 ",padelzone-wiener-neustadt-or-achtersee,,padelzone-wiener-neustadt-or-achtersee,83836,112892|112893|112894|112895,,
padel4fun-la-ville,Padel4Fun La Ville,true,wien-sued,Wien Sued,outdoor,etennis,Padel4Fun,2,"Kirchfeldgasse 5, 1230 Wien",https://reservierung.padel4fun.at/reservierung?c=2946,https://reservierung.padel4fun.at/reservierung?c=2946,48.1318 ,16.2943 ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x476da98d622b0295:0x9523bb5fa35a6ff3?sa=X&ved=1t:8290&ictx=111 ,2946,2946,,,
padel-ebreichsdorf,Padel Ebreichsdorf,true,bad-voeslau,Bad Voeslau,outdoor,eversports,Padel Tennis Ebreichsdorf OG,5,"Am Sportzentrum, 2483 Weigelsdorf",https://www.eversports.at/sb/padel-tennis-ebreichsdorf-og,https://www.eversports.at/sb/padel-tennis-ebreichsdorf-og,47.9646 ,16.4052 ,"https://www.google.com/maps?q=47.9646,16.4052 ",padel-tennis-ebreichsdorf-og,,padel-tennis-ebreichsdorf-og,82350,109328|109329,,
padeldome-suessenbrunn,Padeldome Suessenbrunn,true,wien,Wien,indoor,etennis,Padeldome,8,"Weingartenallee 22, 1220 Wien ",https://www.padeldome.wien/reservierung?c=2667,https://www.padeldome.wien/reservierung?c=2667,48.2814 ,16.4802 ,"https://www.google.com/maps?q=48.2814,16.4802 ",2667,2667,,,
europahalle,Europahalle,true,wien-sued,Wien Sued,indoor,etennis,Europahalle,3,"An den Steinfeldern 2a, 1230 Wien",https://reservierung.europahalle.at/reservierung?c=4797,https://reservierung.europahalle.at/reservierung?c=4797,48.1395 ,16.3057 ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x476da8bd27691123:0xded8739af2da906d?sa=X&ved=1t:8290&ictx=111 ,4797,4797,,,
padel4fun-baden,Padel4Fun Baden,true,bad-voeslau,Bad Voeslau,outdoor,etennis,Padel4Fun,3,"Waltersdorfer Straße 42, 2500 Baden",https://reservierung.padel4fun.at/reservierung?c=3533,https://reservierung.padel4fun.at/reservierung?c=3533,47.9987 ,16.2557 ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x476db1856ca9060d:0x24225ebaa153246f?sa=X&ved=1t:8290&ictx=111,3533,3533,,,
padel-union-wien,Padel Union Wien,true,wien,Wien,outdoor,etennis,Padel Union,6,"Meiereistraße 20, 1020 Wien",https://www.padelunion.at/reservierung?c=3776,https://www.padelunion.at/reservierung?c=3776,48.2063 ,16.4180 ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x476d07106d49fb19:0x280a4c395b2f9ed6?sa=X&ved=1t:8290&ictx=111 ,3776,3776,,,,,30
padeldome-alte-donau-indoor,Padeldome Alte Donau indoor,true,wien,Wien,indoor,etennis,Padeldome,8,"Arbeiterstrandbadstraße 87A, 1210 Wien",https://www.padeldome.wien/reservierung?c=3216,https://www.padeldome.wien/reservierung?c=3216,48.2580 ,16.4155 ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x476d07d2957e2667:0xd67f2f4022214a7d?sa=X&ved=1t:8290&ictx=111 ,3216,3216,,,
padelzone-wien-sportinsel,Padelzone Wien Sportinsel,true,wien,Wien,outdoor,eversports,Padelzone,8,"Georg-Danzer-Steg, Donauinsel, 1210 Wien",https://www.eversports.at/sb/padelzone-wien-or-spezi-sportinsel,https://www.eversports.at/sb/padelzone-wien-or-spezi-sportinsel,48.2439 ,16.3891 ,"https://www.google.com/maps?q=48.2439,16.3891 ",padelzone-wien-or-spezi-sportinsel,,padelzone-wien-or-spezi-sportinsel,76509,84581|84582,,
padel4fun-wr-neudorf,Padel4Fun Wr. Neudorf,true,bad-voeslau,Bad Voeslau,outdoor,etennis,Padel4Fun,6,"Tennisstraße 1, 2351 Wiener Neudorf",https://reservierung.padel4fun.at/reservierung?c=2859,https://reservierung.padel4fun.at/reservierung?c=2859,48.0826 ,16.3135 ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x476dafd8581d6585:0x38172c700a5433e0?sa=X&ved=1t:8290&ictx=111 ,2859,2859,,,
padel-voesendorf,Padel Vösendorf,false,bad-voeslau,Bad Voeslau,indoor,etennis,Padel Vösendorf ,7,"Kindbergstraße 14, 2331 Vösendorf",https://padel-voesendorf.tennisplatz.info/reservierung,https://padel-voesendorf.tennisplatz.info/reservierung,48.1213 ,16.3186 ,"https://www.google.com/maps?q=48.1213,16.3186 ",,,,,
padel-schwechat,Padel Schwechat,true,wien,Wien Sued,outdoor,etennis,Tennis Weber,8,"Wallhofgasse 5, 2320 Schwechat",https://tennisweber.tennisplatz.info/reservierung?c=3251,https://tennisweber.tennisplatz.info/reservierung?c=3251,48.1359 ,16.4718 ,"https://www.google.com/maps?q=48.1359,16.4718 ",,,,,
padelzone-sprungart,Padelzone Sprungart,true,noe-sued,NOE Sued,indoor,eversports,Padelzone,9,"Blätterstraße 1, 2751 Steinabrückl",https://www.eversports.at/sb/padelzone-wiener-neustadt-or-sprungart,https://www.eversports.at/sb/padelzone-wiener-neustadt-or-sprungart,47.7763 ,16.2310 ,"https://www.google.com/maps?q=47.7763,16.2310 ",padelzone-wiener-neustadt-or-sprungart,,padelzone-wiener-neustadt-or-sprungart,80679,105796|105797|105798|105799,,
